BNAME,Date(GMT),Lat,Lon
BUOY_06,15-3-2014,79.452,26.0616
BUOY_06,15-3-2014 00:15:00,79.4506,26.054
BUOY_06,15-3-2014 00:30:00,79.4492,26.046
BUOY_06,15-3-2014 00:45:00,79.4476,26.0378
BUOY_06,15-3-2014 01:00:00,79.4458,26.03
BUOY_06,15-3-2014 01:15:00,79.4438,26.0214
BUOY_06,15-3-2014 01:30:00,79.4418,26.012
BUOY_06,15-3-2014 01:45:00,79.4396,26.0022
BUOY_06,15-3-2014 02:00:00,79.4376,25.9918
BUOY_06,15-3-2014 02:15:00,79.4354,25.981
BUOY_06,15-3-2014 02:30:00,79.4332,25.9696
BUOY_06,15-3-2014 02:45:00,79.431,25.9582
BUOY_06,15-3-2014 03:00:00,79.4286,25.9466
BUOY_06,15-3-2014 03:15:00,79.4262,25.9354
BUOY_06,15-3-2014 03:30:00,79.4238,25.924
BUOY_06,15-3-2014 03:45:00,79.4214,25.9128
BUOY_06,15-3-2014 04:00:00,79.4192,25.9024
BUOY_06,15-3-2014 04:15:00,79.4168,25.892
BUOY_06,15-3-2014 04:30:00,79.4146,25.8826
BUOY_06,15-3-2014 04:45:00,79.4124,25.8734
BUOY_06,15-3-2014 05:00:00,79.4106,25.864
BUOY_06,15-3-2014 05:15:00,79.4086,25.8548
BUOY_06,15-3-2014 05:30:00,79.407,25.8466
BUOY_06,15-3-2014 05:45:00,79.4052,25.8388
BUOY_06,15-3-2014 06:00:00,79.4036,25.8324
BUOY_06,15-3-2014 06:15:00,79.4022,25.8278
BUOY_06,15-3-2014 06:30:00,79.401,25.8238
BUOY_06,15-3-2014 06:45:00,79.4,25.8206
BUOY_06,15-3-2014 07:00:00,79.399,25.818
BUOY_06,15-3-2014 07:15:00,79.3984,25.816
BUOY_06,15-3-2014 07:30:00,79.3978,25.8146
BUOY_06,15-3-2014 07:45:00,79.3972,25.8132
BUOY_06,15-3-2014 08:00:00,79.3968,25.812
BUOY_06,15-3-2014 08:15:00,79.3964,25.8108
BUOY_06,15-3-2014 08:30:00,79.396,25.8098
BUOY_06,15-3-2014 08:45:00,79.3956,25.8094
BUOY_06,15-3-2014 09:00:00,79.3952,25.809
BUOY_06,15-3-2014 09:15:00,79.3948,25.8092
BUOY_06,15-3-2014 09:30:00,79.3944,25.8092
BUOY_06,15-3-2014 09:45:00,79.394,25.809
BUOY_06,15-3-2014 10:00:00,79.3936,25.8084
BUOY_06,15-3-2014 10:15:00,79.3932,25.8078
BUOY_06,15-3-2014 10:30:00,79.3928,25.8072
BUOY_06,15-3-2014 10:45:00,79.3924,25.8064
BUOY_06,15-3-2014 11:00:00,79.3918,25.8052
BUOY_06,15-3-2014 11:15:00,79.3912,25.8036
BUOY_06,15-3-2014 11:30:00,79.3906,25.8018
BUOY_06,15-3-2014 11:45:00,79.39,25.7994
BUOY_06,15-3-2014 12:00:00,79.389,25.797
BUOY_06,15-3-2014 12:15:00,79.3882,25.7936
BUOY_06,15-3-2014 12:30:00,79.387,25.79
BUOY_06,15-3-2014 12:45:00,79.3858,25.7866
